Registering Defuzzer!
Loaded thutessentials config file thutessentials/thutessentials-common.toml
Reading thutessentials/thutessentials-common.toml
thutessentials/thutessentials-common.toml config belongs to us!
Reading thutessentials/thutessentials-common.toml
Server Started
Starting Loading Land
Finished Loading Land and Teams
13:06:35.784277333 minecraft:overworld, BlockPos{x=5, y=5, z=-15}: log-in c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
Login detected, adding player to logins for defuzz.
13:06:43.25397702 minecraft:overworld, BlockPos{x=5, y=5, z=-15}: break Block{minecraft:grass} at BlockPos{x=89, y=91, z=-237} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:09:08.679117315 minecraft:overworld, BlockPos{x=1, y=6, z=-13}: break Block{minecraft:birch_log}[axis=y] at BlockPos{x=25, y=104, z=-208} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:09:09.629218737 minecraft:overworld, BlockPos{x=1, y=6, z=-13}: break Block{minecraft:birch_log}[axis=y] at BlockPos{x=25, y=105, z=-208} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:09:10.473884897 minecraft:overworld, BlockPos{x=1, y=6, z=-13}: break Block{minecraft:birch_log}[axis=y] at BlockPos{x=25, y=106, z=-208} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:09:11.233034284 minecraft:overworld, BlockPos{x=1, y=6, z=-13}: break Block{minecraft:birch_log}[axis=y] at BlockPos{x=25, y=107, z=-208} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:09:12.233149987 minecraft:overworld, BlockPos{x=1, y=6, z=-13}: break Block{minecraft:birch_log}[axis=y] at BlockPos{x=25, y=102, z=-208} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:09:14.584315242 minecraft:overworld, BlockPos{x=1, y=6, z=-14}: break Block{minecraft:oak_log}[axis=y] at BlockPos{x=29, y=102, z=-209} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:09:15.383396161 minecraft:overworld, BlockPos{x=1, y=6, z=-14}: break Block{minecraft:oak_log}[axis=y] at BlockPos{x=29, y=101, z=-209} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:09:16.222604722 minecraft:overworld, BlockPos{x=1, y=6, z=-14}: break Block{minecraft:oak_log}[axis=y] at BlockPos{x=29, y=103, z=-209} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:09:17.034851341 minecraft:overworld, BlockPos{x=1, y=6, z=-14}: break Block{minecraft:oak_log}[axis=y] at BlockPos{x=29, y=104, z=-209} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:09:17.832905227 minecraft:overworld, BlockPos{x=1, y=6, z=-14}: break Block{minecraft:oak_log}[axis=y] at BlockPos{x=29, y=105, z=-209} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:09:20.39308947 minecraft:overworld, BlockPos{x=2, y=6, z=-13}: break Block{minecraft:oak_leaves}[distance=2,persistent=false,waterlogged=false] at BlockPos{x=33, y=103, z=-205} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:09:20.982410963 minecraft:overworld, BlockPos{x=2, y=6, z=-13}: break Block{minecraft:oak_leaves}[distance=1,persistent=false,waterlogged=false] at BlockPos{x=33, y=103, z=-204} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:09:21.79262604 minecraft:overworld, BlockPos{x=2, y=6, z=-13}: break Block{minecraft:oak_log}[axis=y] at BlockPos{x=33, y=103, z=-203} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:09:22.583318293 minecraft:overworld, BlockPos{x=2, y=6, z=-13}: break Block{minecraft:oak_log}[axis=y] at BlockPos{x=33, y=102, z=-203} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:09:23.391719493 minecraft:overworld, BlockPos{x=2, y=6, z=-13}: break Block{minecraft:oak_log}[axis=y] at BlockPos{x=33, y=104, z=-203} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:09:24.18309314 minecraft:overworld, BlockPos{x=2, y=6, z=-13}: break Block{minecraft:oak_log}[axis=y] at BlockPos{x=33, y=105, z=-203} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:09:59.877793599 minecraft:overworld, BlockPos{x=4, y=5, z=-14}: break Block{minecraft:birch_leaves}[distance=7,persistent=false,waterlogged=false] at BlockPos{x=68, y=93, z=-210} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:10:06.478073071 minecraft:overworld, BlockPos{x=4, y=5, z=-13}: place Block{minecraft:birch_sapling}[stage=0] at BlockPos{x=76, y=92, z=-207} on Block{minecraft:grass_block}[snowy=false] by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:10:09.489269794 minecraft:overworld, BlockPos{x=4, y=5, z=-13}: place Block{minecraft:birch_sapling}[stage=0] at BlockPos{x=76, y=94, z=-202} on Block{minecraft:grass_block}[snowy=false] by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:10:13.086290392 minecraft:overworld, BlockPos{x=4, y=5, z=-13}: place Block{minecraft:birch_sapling}[stage=0] at BlockPos{x=76, y=95, z=-197} on Block{minecraft:grass_block}[snowy=false] by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:10:14.503501572 minecraft:overworld, BlockPos{x=4, y=5, z=-13}: break Block{minecraft:grass_block}[snowy=false] at BlockPos{x=75, y=95, z=-196} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:10:15.045513584 minecraft:overworld, BlockPos{x=4, y=5, z=-13}: break Block{minecraft:grass_block}[snowy=false] at BlockPos{x=76, y=95, z=-196} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:10:15.577616312 minecraft:overworld, BlockPos{x=4, y=5, z=-13}: break Block{minecraft:grass_block}[snowy=false] at BlockPos{x=77, y=95, z=-196} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:10:16.127345697 minecraft:overworld, BlockPos{x=4, y=5, z=-13}: break Block{minecraft:grass_block}[snowy=false] at BlockPos{x=78, y=95, z=-196} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:10:16.697786252 minecraft:overworld, BlockPos{x=4, y=5, z=-13}: break Block{minecraft:grass_block}[snowy=false] at BlockPos{x=79, y=95, z=-196} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:10:17.223161112 minecraft:overworld, BlockPos{x=5, y=5, z=-13}: break Block{minecraft:grass_block}[snowy=false] at BlockPos{x=80, y=95, z=-196} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:10:22.407379723 minecraft:overworld, BlockPos{x=5, y=5, z=-13}: place Block{minecraft:birch_sapling}[stage=0] at BlockPos{x=81, y=94, z=-197} on Block{minecraft:grass_block}[snowy=false] by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:10:29.926910961 minecraft:overworld, BlockPos{x=5, y=5, z=-13}: break Block{minecraft:grass} at BlockPos{x=86, y=93, z=-197} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:10:30.188744542 minecraft:overworld, BlockPos{x=5, y=5, z=-13}: place Block{minecraft:birch_sapling}[stage=0] at BlockPos{x=86, y=93, z=-197} on Block{minecraft:grass_block}[snowy=false] by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:10:33.672616229 minecraft:overworld, BlockPos{x=5, y=5, z=-13}: place Block{minecraft:birch_sapling}[stage=0] at BlockPos{x=86, y=92, z=-202} on Block{minecraft:grass_block}[snowy=false] by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:10:35.630040421 minecraft:overworld, BlockPos{x=5, y=5, z=-13}: place Block{minecraft:birch_sapling}[stage=0] at BlockPos{x=86, y=92, z=-207} on Block{minecraft:grass_block}[snowy=false] by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:10:37.473185597 minecraft:overworld, BlockPos{x=5, y=5, z=-14}: place Block{minecraft:birch_sapling}[stage=0] at BlockPos{x=86, y=92, z=-212} on Block{minecraft:grass_block}[snowy=false] by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:10:45.876826135 minecraft:overworld, BlockPos{x=5, y=5, z=-13}: break Block{minecraft:grass_block}[snowy=false] at BlockPos{x=80, y=94, z=-197} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:10:46.380035239 minecraft:overworld, BlockPos{x=5, y=5, z=-13}: break Block{minecraft:dirt} at BlockPos{x=80, y=94, z=-196} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:10:46.928583057 minecraft:overworld, BlockPos{x=5, y=5, z=-13}: break Block{minecraft:grass_block}[snowy=false] at BlockPos{x=81, y=94, z=-196} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:10:47.476604379 minecraft:overworld, BlockPos{x=5, y=5, z=-13}: break Block{minecraft:grass_block}[snowy=false] at BlockPos{x=80, y=95, z=-195} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:10:48.027234188 minecraft:overworld, BlockPos{x=4, y=5, z=-13}: break Block{minecraft:grass_block}[snowy=false] at BlockPos{x=79, y=95, z=-195} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:10:48.576652969 minecraft:overworld, BlockPos{x=4, y=5, z=-13}: break Block{minecraft:dirt} at BlockPos{x=79, y=94, z=-196} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:10:49.120356865 minecraft:overworld, BlockPos{x=4, y=5, z=-13}: break Block{minecraft:grass_block}[snowy=false] at BlockPos{x=79, y=94, z=-197} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:10:49.676712327 minecraft:overworld, BlockPos{x=5, y=5, z=-13}: break Block{minecraft:grass_block}[snowy=false] at BlockPos{x=81, y=94, z=-195} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:10:59.227020103 minecraft:overworld, BlockPos{x=2, y=6, z=-12}: break Block{minecraft:grass} at BlockPos{x=33, y=101, z=-183} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:11:39.674159812 minecraft:overworld, BlockPos{x=4, y=6, z=-13}: break Block{minecraft:grass} at BlockPos{x=77, y=96, z=-195} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:11:40.827336392 minecraft:overworld, BlockPos{x=4, y=6, z=-12}: break Block{minecraft:grass} at BlockPos{x=76, y=96, z=-192} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:11:41.320205378 minecraft:overworld, BlockPos{x=4, y=6, z=-12}: break Block{minecraft:grass} at BlockPos{x=74, y=96, z=-191} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:11:41.377935506 minecraft:overworld, BlockPos{x=4, y=6, z=-12}: break Block{minecraft:grass} at BlockPos{x=74, y=96, z=-190} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:11:41.484945029 minecraft:overworld, BlockPos{x=4, y=6, z=-12}: break Block{minecraft:tall_grass}[half=lower] at BlockPos{x=74, y=96, z=-189} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:11:41.820136555 minecraft:overworld, BlockPos{x=4, y=6, z=-12}: break Block{minecraft:grass} at BlockPos{x=77, y=96, z=-190} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:11:41.870674939 minecraft:overworld, BlockPos{x=4, y=6, z=-12}: break Block{minecraft:grass} at BlockPos{x=77, y=96, z=-189} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:11:41.97027087 minecraft:overworld, BlockPos{x=4, y=6, z=-12}: break Block{minecraft:grass} at BlockPos{x=78, y=96, z=-190} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:11:42.066117319 minecraft:overworld, BlockPos{x=4, y=6, z=-12}: break Block{minecraft:grass} at BlockPos{x=79, y=96, z=-190} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:11:42.773779606 minecraft:overworld, BlockPos{x=4, y=6, z=-12}: break Block{minecraft:grass} at BlockPos{x=76, y=96, z=-189} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:11:42.871183387 minecraft:overworld, BlockPos{x=4, y=6, z=-12}: break Block{minecraft:grass} at BlockPos{x=78, y=96, z=-189} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:11:42.916311971 minecraft:overworld, BlockPos{x=4, y=6, z=-12}: break Block{minecraft:grass} at BlockPos{x=79, y=96, z=-188} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:11:43.020735168 minecraft:overworld, BlockPos{x=5, y=6, z=-12}: break Block{minecraft:grass} at BlockPos{x=80, y=96, z=-188} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:11:43.175812637 minecraft:overworld, BlockPos{x=5, y=6, z=-12}: break Block{minecraft:grass} at BlockPos{x=81, y=96, z=-189} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:11:43.674036721 minecraft:overworld, BlockPos{x=4, y=6, z=-12}: break Block{minecraft:grass} at BlockPos{x=76, y=96, z=-188} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:11:43.924139643 minecraft:overworld, BlockPos{x=4, y=6, z=-12}: break Block{minecraft:tall_grass}[half=lower] at BlockPos{x=73, y=96, z=-189} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:11:44.024268982 minecraft:overworld, BlockPos{x=4, y=6, z=-12}: break Block{minecraft:tall_grass}[half=upper] at BlockPos{x=73, y=96, z=-190} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:11:44.266465093 minecraft:overworld, BlockPos{x=4, y=6, z=-12}: break Block{minecraft:grass} at BlockPos{x=73, y=96, z=-188} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:11:44.666111035 minecraft:overworld, BlockPos{x=4, y=5, z=-12}: break Block{minecraft:grass} at BlockPos{x=72, y=95, z=-187} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
13:11:44.776269186 minecraft:overworld, BlockPos{x=4, y=5, z=-12}: break Block{minecraft:grass} at BlockPos{x=73, y=95, z=-185} by c63978fa-cffe-333b-9379-f77b62967dc5 Hezare0
